"Abilene, TX","160,245","165,252","5,007",3.1
"Akron, OH","694,960","703,200","8,240",1.2
"Albany, GA","157,833","157,308",-525,-0.3
"Albany-Schenectady-Troy, NY","825,875","870,716","44,841",5.4
"Albuquerque, NM","729,649","887,077","157,428",21.6
"Alexandria, LA","145,035","153,922","8,887",6.1
"Allentown-Bethlehem-Easton, PA-NJ","740,395","821,173","80,778",10.9
"Altoona, PA","129,144","127,089","-2,055",-1.6
"Amarillo, TX","226,522","249,881","23,359",10.3
"Ames, IA","79,981","89,542","9,561",12.0
"Anchorage, AK","319,605","380,821","61,216",19.2
"Anderson, IN","133,358","131,636","-1,722",-1.3
"Anderson, SC","165,740","187,126","21,386",12.9
"Ann Arbor, MI","322,895","344,791","21,896",6.8
"Anniston-Oxford, AL","112,249","118,572","6,323",5.6
"Appleton, WI","201,602","225,666","24,064",11.9
"Asheville, NC","369,171","424,858","55,687",15.1
"Athens-Clarke County, GA","166,079","192,541","26,462",15.9
"Atlanta-Sandy Springs-Marietta, GA","4,247,981","5,268,860","1,020,879",24.0
"Atlantic City-Hammonton, NJ","252,552","274,549","21,997",8.7
"Auburn-Opelika, AL","115,092","140,247","25,155",21.9
"Augusta-Richmond County, GA-SC","499,684","556,877","57,193",11.4
"Austin-Round Rock-San Marcos, TX","1,249,763","1,716,289","466,526",37.3
"Bakersfield-Delano, CA","661,645","839,631","177,986",26.9
"Baltimore-Towson, MD","2,552,994","2,710,489","157,495",6.2
"Bangor, ME","144,919","153,923","9,004",6.2
"Barnstable Town, MA","222,230","215,888","-6,342",-2.9
"Baton Rouge, LA","705,973","802,484","96,511",13.7
"Battle Creek, MI","137,985","136,146","-1,839",-1.3
"Bay City, MI","110,157","107,771","-2,386",-2.2
"Beaumont-Port Arthur, TX","385,090","388,745","3,655",0.9
"Bellingham, WA","166,814","201,140","34,326",20.6
"Bend, OR","115,367","157,733","42,366",36.7
"Billings, MT","138,904","158,050","19,146",13.8
"Binghamton, NY","252,320","251,725",-595,-0.2
"Birmingham-Hoover, AL","1,052,238","1,128,047","75,809",7.2
"Bismarck, ND","94,719","108,779","14,060",14.8
"Blacksburg-Christiansburg-Radford, VA","151,272","162,958","11,686",7.7
"Bloomington, IN","175,506","192,714","17,208",9.8
"Bloomington-Normal, IL","150,433","169,572","19,139",12.7
"Boise City-Nampa, ID","464,840","616,561","151,721",32.6
"Boston-Cambridge-Quincy, MA-NH","4,391,344","4,552,402","161,058",3.7
"Boulder, CO /1","269,814","294,567","24,753",9.2
"Bowling Green, KY","104,166","125,953","21,787",20.9
"Bremerton-Silverdale, WA","231,969","251,133","19,164",8.3
"Bridgeport-Stamford-Norwalk, CT","882,567","916,829","34,262",3.9
"Brownsville-Harlingen, TX","335,227","406,220","70,993",21.2
"Brunswick, GA","93,044","112,370","19,326",20.8
"Buffalo-Niagara Falls, NY","1,170,111","1,135,509","-34,602",-3.0
"Burlington, NC","130,800","151,131","20,331",15.5
"Burlington-South Burlington, VT","198,889","211,261","12,372",6.2
"Canton-Massillon, OH","406,934","404,422","-2,512",-0.6
"Cape Coral-Fort Myers, FL","440,888","618,754","177,866",40.3
"Cape Girardeau-Jackson, MO-IL","90,312","96,275","5,963",6.6
"Carson City, NV","52,457","55,274","2,817",5.4
"Casper, WY","66,533","75,450","8,917",13.4
"Cedar Rapids, IA","237,230","257,940","20,710",8.7
"Champaign-Urbana, IL","210,275","231,891","21,616",10.3
"Charleston, WV","309,635","304,284","-5,351",-1.7
"Charleston-North Charleston-Summerville, SC","549,033","664,607","115,574",21.1
"Charlotte-Gastonia-Rock Hill, NC-SC","1,330,448","1,758,038","427,590",32.1
"Charlottesville, VA","174,021","201,559","27,538",15.8
"Chattanooga, TN-GA","476,531","528,143","51,612",10.8
"Cheyenne, WY","81,607","91,738","10,131",12.4
"Chicago-Joliet-Naperville, IL-IN-WI","9,098,316","9,461,105","362,789",4.0
"Chico, CA","203,171","220,000","16,829",8.3
"Cincinnati-Middletown, OH-KY-IN","2,009,632","2,130,151","120,519",6.0
"Clarksville, TN-KY","232,000","273,949","41,949",18.1
"Cleveland, TN","104,015","115,788","11,773",11.3
"Cleveland-Elyria-Mentor, OH","2,148,143","2,077,240","-70,903",-3.3
"Coeur d'Alene, ID","108,685","138,494","29,809",27.4
"College Station-Bryan, TX","184,885","228,660","43,775",23.7
"Colorado Springs, CO","537,484","645,613","108,129",20.1
"Columbia, MO","145,666","172,786","27,120",18.6
"Columbia, SC","647,158","767,598","120,440",18.6
"Columbus, GA-AL","281,768","294,865","13,097",4.6
"Columbus, IN","71,435","76,794","5,359",7.5
"Columbus, OH","1,612,694","1,836,536","223,842",13.9
"Corpus Christi, TX","403,280","428,185","24,905",6.2
"Corvallis, OR","78,153","85,579","7,426",9.5
"Crestview-Fort Walton Beach-Destin, FL","170,498","180,822","10,324",6.1
"Cumberland, MD-WV","102,008","103,299","1,291",1.3
"Dallas-Fort Worth-Arlington, TX","5,161,544","6,371,773","1,210,229",23.4
"Dalton, GA","120,031","142,227","22,196",18.5
"Danville, IL","83,919","81,625","-2,294",-2.7
"Danville, VA","110,156","106,561","-3,595",-3.3
"Davenport-Moline-Rock Island, IA-IL","376,019","379,690","3,671",1.0
"Dayton, OH","848,153","841,502","-6,651",-0.8
"Decatur, AL","145,867","153,829","7,962",5.5
"Decatur, IL","114,706","110,768","-3,938",-3.4
"Deltona-Daytona Beach-Ormond Beach, FL","443,343","494,593","51,250",11.6
"Denver-Aurora-Broomfield, CO /1","2,179,240","2,543,482","364,242",16.7
"Des Moines-West Des Moines, IA","481,394","569,633","88,239",18.3
"Detroit-Warren-Livonia, MI","4,452,557","4,296,250","-156,307",-3.5
"Dothan, AL","130,861","145,639","14,778",11.3
"Dover, DE","126,697","162,310","35,613",28.1
"Dubuque, IA","89,143","93,653","4,510",5.1
"Duluth, MN-WI","275,486","279,771","4,285",1.6
"Durham-Chapel Hill, NC","426,493","504,357","77,864",18.3
"Eau Claire, WI","148,337","161,151","12,814",8.6
"El Centro, CA","142,361","174,528","32,167",22.6
"Elizabethtown, KY","107,547","119,736","12,189",11.3
"Elkhart-Goshen, IN","182,791","197,559","14,768",8.1
"Elmira, NY","91,070","88,830","-2,240",-2.5
"El Paso, TX","679,622","800,647","121,025",17.8
"Erie, PA","280,843","280,566",-277,-0.1
"Eugene-Springfield, OR","322,959","351,715","28,756",8.9
"Evansville, IN-KY","342,815","358,676","15,861",4.6
"Fairbanks, AK","82,840","97,581","14,741",17.8
"Fargo, ND-MN","174,367","208,777","34,410",19.7
"Farmington, NM","113,801","130,044","16,243",14.3
"Fayetteville, NC","336,609","366,383","29,774",8.8
"Fayetteville-Springdale-Rogers, AR-MO","347,045","463,204","116,159",33.5
"Flagstaff, AZ","116,320","134,421","18,101",15.6
"Flint, MI","436,141","425,790","-10,351",-2.4
"Florence, SC","193,155","205,566","12,411",6.4
"Florence-Muscle Shoals, AL","142,950","147,137","4,187",2.9
"Fond du Lac, WI","97,296","101,633","4,337",4.5
"Fort Collins-Loveland, CO","251,494","299,630","48,136",19.1
"Fort Smith, AR-OK","273,170","298,592","25,422",9.3
"Fort Wayne, IN","390,156","416,257","26,101",6.7
"Fresno, CA","799,407","930,450","131,043",16.4
"Gadsden, AL","103,459","104,430",971,0.9
"Gainesville, FL","232,392","264,275","31,883",13.7
"Gainesville, GA","139,277","179,684","40,407",29.0
"Glens Falls, NY","124,345","128,923","4,578",3.7
"Goldsboro, NC","113,329","122,623","9,294",8.2
"Grand Forks, ND-MN","97,478","98,461",983,1.0
"Grand Junction, CO","116,255","146,723","30,468",26.2
"Grand Rapids-Wyoming, MI","740,482","774,160","33,678",4.5
"Great Falls, MT","80,357","81,327",970,1.2
"Greeley, CO /1","180,926","252,825","71,899",39.7
"Green Bay, WI","282,599","306,241","23,642",8.4
"Greensboro-High Point, NC","643,430","723,801","80,371",12.5
"Greenville, NC","152,772","189,510","36,738",24.0
"Greenville-Mauldin-Easley, SC","559,940","636,986","77,046",13.8
"Gulfport-Biloxi, MS","246,190","248,820","2,630",1.1
"Hagerstown-Martinsburg, MD-WV","222,771","269,140","46,369",20.8
"Hanford-Corcoran, CA","129,461","152,982","23,521",18.2
"Harrisburg-Carlisle, PA","509,074","549,475","40,401",7.9
"Harrisonburg, VA","108,193","125,228","17,035",15.7
"Hartford-West Hartford-East Hartford, CT","1,148,618","1,212,381","63,763",5.6
"Hattiesburg, MS","123,812","142,842","19,030",15.4
"Hickory-Lenoir-Morganton, NC","341,851","365,497","23,646",6.9
"Hinesville-Fort Stewart, GA","71,914","77,917","6,003",8.3
"Holland-Grand Haven, MI","238,314","263,801","25,487",10.7
"Honolulu, HI","876,156","953,207","77,051",8.8
